Evaporator Inlet Water Temperature,Evaporator Outlet Water Temperature,Evaporator Flow rate,Condensor Refrigerant Pressure,Condensor Inlet Water Temperature,Condensor Outlet Water Temperature,Condensor Flow Rate,Motor KW
10.3,5.2,271.7,125.5,26.6,31.5,419.1,249.8
10.3,5.2,271.5,125.5,26.6,31.5,418.7,249.6
10.3,5.2,272.0,125.5,26.6,31.5,417.9,249.0
10.2,5.2,271.1,125.5,26.6,31.5,418.6,250.3
10.3,5.1,271.6,125.5,26.6,31.5,421.2,250.5
10.3,5.2,272.5,125.5,26.6,31.5,420.0,250.0
10.2,5.2,271.9,125.5,26.6,31.5,416.6,250.9
10.3,5.2,271.7,125.5,26.6,31.5,418.3,249.4
10.2,5.1,271.7,125.5,26.6,31.5,418.4,248.8
10.3,5.2,271.1,125.5,26.6,31.5,419.5,248.0
10.2,5.2,271.2,125.5,26.5,31.5,418.3,248.1
10.3,5.2,271.2,125.5,26.6,31.5,418.4,246.6
10.2,5.1,271.2,124.8,26.6,31.5,417.4,246.6
10.2,5.2,270.9,125.5,26.6,31.5,415.6,247.3
10.3,5.2,270.5,125.5,26.5,31.4,416.9,246.4
10.2,5.1,270.2,124.8,26.6,31.5,418.5,247.0
10.3,5.2,270.2,125.5,26.6,31.4,418.4,246.8
10.2,5.2,270.6,124.8,26.5,31.4,418.7,246.8
10.2,5.2,271.5,124.8,26.5,31.4,415.4,247.1
10.3,5.1,270.9,124.8,26.5,31.4,417.5,247.2
10.2,5.2,270.1,124.8,26.5,31.4,417.8,247.7
10.2,5.2,271.1,124.8,26.5,31.5,417.0,247.9
10.3,5.2,270.8,124.8,26.5,31.4,417.5,247.6
10.2,5.1,270.9,124.8,26.5,31.5,418.9,247.8
10.2,5.1,271.0,124.8,26.5,31.4,413.5,248.0
10.2,5.1,271.5,124.8,26.5,31.4,416.9,248.2
10.2,5.2,271.5,124.8,26.5,31.4,418.7,247.9
10.2,5.1,271.3,124.8,26.5,31.4,419.3,247.4
10.2,5.1,270.6,124.8,26.5,31.4,418.4,247.3
10.2,5.1,269.8,124.8,26.5,31.4,418.7,246.9
10.2,5.1,270.3,124.8,26.5,31.4,419.7,247.1
10.2,5.2,270.6,124.8,26.5,31.4,420.8,247.0
10.2,5.1,270.7,124.8,26.5,31.4,419.9,247.2
10.2,5.1,270.9,124.8,26.5,31.3,419.5,248.6
10.2,5.1,270.7,124.8,26.5,31.4,418.1,247.2
10.2,5.1,271.7,124.8,26.5,31.4,416.4,248.2
10.2,5.1,271.1,124.8,26.5,31.4,420.3,247.9
10.2,5.1,271.8,124.8,26.5,31.4,418.3,248.3
10.2,5.1,271.2,124.8,26.4,31.4,418.7,248.2
10.2,5.1,271.4,124.8,26.4,31.4,416.2,247.8
10.2,5.1,270.4,124.8,26.5,31.4,420.6,247.8
10.2,5.1,270.9,124.8,26.4,31.4,418.3,247.2
10.2,5.1,270.6,124.8,26.4,31.4,417.3,247.2
10.2,5.1,271.1,124.8,26.5,31.4,419.1,246.2
10.1,5.1,270.4,124.8,26.4,31.4,419.0,246.1
10.2,5.1,270.2,124.8,26.5,31.3,418.0,246.2
10.2,5.1,271.4,124.1,26.4,31.3,418.0,246.4
10.2,5.1,269.7,124.8,26.4,31.4,412.6,245.8
10.2,5.1,271.1,124.8,26.4,31.3,419.3,245.8
10.1,5.1,270.2,124.1,26.4,31.3,418.9,245.9
10.2,5.1,270.3,124.1,26.4,31.3,417.4,245.9
10.2,5.1,271.2,124.1,26.4,31.3,418.4,246.4
10.2,5.1,270.3,124.1,26.4,31.2,418.9,246.7
10.2,5.1,271.8,124.1,26.4,31.2,420.2,246.8
10.1,5.1,271.2,124.1,26.4,31.2,418.0,247.9
10.2,5.1,271.1,124.1,26.4,31.2,418.5,247.7
10.2,5.1,271.5,124.1,26.4,31.2,418.1,247.5
10.2,5.1,271.5,124.1,26.3,31.2,418.7,247.9
10.2,5.1,271.6,124.1,26.3,31.2,418.4,247.2
10.1,5.1,271.0,124.1,26.3,31.2,419.3,246.6
10.2,5.1,271.5,124.1,26.3,31.2,418.8,246.8
10.2,5.1,270.7,124.1,26.3,31.2,416.7,246.4
10.1,5.1,270.4,124.1,26.3,31.2,418.6,246.5
10.1,5.0,271.1,124.1,26.3,31.2,416.4,246.7
10.1,5.1,271.5,124.1,26.3,31.1,417.8,247.8
10.2,5.1,270.9,124.1,26.3,31.2,417.3,247.6
10.1,5.1,271.8,124.1,26.3,31.1,418.1,248.0
10.1,5.1,271.6,124.1,26.3,31.1,417.2,248.2
10.1,5.0,272.7,124.1,26.3,31.2,417.4,248.4
10.1,5.1,272.7,124.1,26.3,31.1,419.7,248.1
10.1,5.1,271.2,124.1,26.3,31.1,413.2,247.8
10.2,5.1,271.5,124.1,26.3,31.2,417.7,246.8
10.1,5.1,271.2,124.1,26.3,31.2,419.4,245.8
10.1,5.1,271.2,123.4,26.3,31.1,419.2,244.2
10.1,5.1,271.0,123.4,26.3,31.1,417.8,243.9
10.1,5.1,271.3,123.4,26.3,31.1,418.7,243.7
10.1,5.1,271.0,123.4,26.2,31.1,419.2,243.1
10.1,5.1,270.3,123.4,26.3,31.1,417.3,243.0
10.0,5.1,270.5,123.4,26.3,31.1,417.6,243.1
10.1,5.1,269.7,123.4,26.2,31.1,417.1,243.3
10.2,5.1,271.2,123.4,26.2,31.1,418.1,243.2
10.1,5.1,270.6,123.4,26.3,31.1,418.0,242.8
10.1,5.1,270.9,123.4,26.2,31.0,416.4,243.6
